======================================================================
Symbol Recognition Training History
======================================================================

Epoch   Train Loss  Train Acc   Val Loss    Val Acc     LR             
----------------------------------------------------------------------
1       6.4229      1.15        5.4751      5.39        0.00099975     
2       5.6093      3.12        4.9203      4.52        0.00099901     
3       5.0506      5.41        4.1701      10.39       0.00099778     
4       4.6954      7.71        3.6557      14.24       0.00099606     
5       4.3396      11.18       3.8194      17.52       0.00099385     
6       4.0111      14.82       2.9176      29.16       0.00099115     
7       3.7603      19.03       2.6219      33.11       0.00098797     
8       3.5168      23.76       2.4717      36.77       0.00098431     
9       3.2859      27.66       2.2201      43.21       0.00098017     
10      3.0921      31.75       2.2084      44.08       0.00097555     
11      2.8757      36.26       1.7892      51.68       0.00097047     
12      2.7067      40.30       1.6016      57.94       0.00096492     
13      2.6362      41.61       1.8013      52.74       0.00095892     
14      2.4846      45.54       1.5436      58.23       0.00095246     
15      2.3715      48.40       1.3845      62.95       0.00094556     
16      2.2959      50.71       1.4166      62.18       0.00093822     
17      2.2118      52.44       1.4985      60.44       0.00093044     
18      2.1042      55.57       1.2270      68.53       0.00092224     
19      2.0353      57.29       1.1651      70.84       0.00091363     
20      2.0174      57.87       1.1415      70.74       0.00090460     
21      1.9928      58.70       1.2132      69.87       0.00089518     
22      1.9163      60.65       1.3153      68.72       0.00088537     
23      1.8555      62.05       1.1276      70.64       0.00087518     
24      1.8308      62.64       1.2894      67.37       0.00086462     
25      1.8224      63.34       1.0929      71.80       0.00085370     
26      1.7751      64.19       1.1306      71.99       0.00084243     
27      1.7585      64.69       1.0553      74.40       0.00083083     
28      1.7543      65.13       1.0444      73.05       0.00081889     
29      1.7279      66.02       1.0286      73.72       0.00080665     
30      1.7009      66.70       1.2486      71.22       0.00079410     
31      1.6504      67.67       1.0014      74.69       0.00078126     
32      1.6525      67.69       0.9815      75.94       0.00076815     
33      1.6313      68.58       0.9820      76.03       0.00075477     
34      1.6100      69.10       1.1286      73.53       0.00074114     
35      1.6124      69.13       1.0273      74.69       0.00072727     
36      1.5744      69.99       1.1905      75.07       0.00071318     
37      1.5640      70.60       0.9867      77.48       0.00069888     
38      1.5758      70.04       1.0404      76.61       0.00068438     
39      1.5385      70.70       1.1455      75.65       0.00066970     
40      1.5244      71.80       1.0304      77.29       0.00065485     
41      1.5447      71.59       1.0141      77.57       0.00063986     
42      1.5087      72.16       0.8914      79.31       0.00062472     
43      1.5143      71.83       1.0071      78.34       0.00060946     
44      1.5129      72.06       1.1335      75.84       0.00059410     
45      1.4843      72.28       1.0557      77.29       0.00057864     
46      1.4851      72.44       1.1236      77.29       0.00056310     
47      1.4687      72.75       1.0386      77.48       0.00054751     
48      1.4744      73.03       1.0526      77.09       0.00053186     
49      1.4578      73.08       1.0161      76.03       0.00051619     
50      1.4697      73.21       1.0628      76.61       0.00050050     
51      1.4579      73.40       0.9826      78.25       0.00048481     
52      1.4423      73.85       1.0333      79.02       0.00046914     
53      1.4380      74.08       1.0159      78.83       0.00045349     
54      1.4117      74.65       0.9493      79.98       0.00043790     
55      1.4191      74.69       1.0491      78.83       0.00042236     
56      1.3991      74.56       0.9659      80.94       0.00040690     
57      1.4006      74.63       1.0719      78.92       0.00039154     
58      1.3843      75.50       1.0148      79.79       0.00037628     
59      1.3830      75.47       1.0106      80.27       0.00036114     
60      1.3772      75.63       1.0270      78.83       0.00034615     
61      1.3608      76.15       0.9820      80.37       0.00033130     
62      1.3752      75.50       0.9653      80.27       0.00031662     
63      1.3666      75.78       0.9841      79.50       0.00030212     
64      1.3705      75.73       0.9649      80.37       0.00028782     
65      1.3762      75.75       0.9987      80.85       0.00027373     
66      1.3720      75.85       0.9968      80.08       0.00025986     
67      1.3570      76.17       0.9614      80.56       0.00024623     
68      1.3560      76.15       0.9916      80.08       0.00023285     
69      1.3459      76.17       0.9509      81.52       0.00021974     
70      1.3431      76.32       0.9701      81.62       0.00020690     
71      1.3327      76.90       0.9623      81.52       0.00019435     
72      1.3429      76.46       0.9492      80.46       0.00018211     
73      1.3358      76.83       0.9262      80.85       0.00017017     
74      1.3317      77.25       0.9281      81.71       0.00015857     
75      1.3213      77.09       0.9101      81.71       0.00014730     
76      1.3374      76.53       0.9398      81.71       0.00013638     
77      1.3229      77.26       0.9118      82.29       0.00012582     
78      1.3280      77.11       0.8978      82.00       0.00011563     
79      1.3270      76.98       0.9120      82.00       0.00010582     
80      1.3165      77.25       0.8745      81.91       0.00009640     
81      1.3187      77.16       0.9242      82.10       0.00008737     
82      1.3150      77.58       0.9266      81.14       0.00007876     
83      1.3180      77.28       0.9147      82.68       0.00007056     
84      1.3131      77.56       0.9226      81.91       0.00006278     
85      1.3066      77.47       0.9172      81.62       0.00005544     
86      1.3158      77.49       0.9143      82.19       0.00004854     
87      1.3116      77.39       0.9124      82.68       0.00004208     
88      1.3015      77.80       0.8990      81.91       0.00003608     
89      1.3047      77.66       0.9139      82.19       0.00003053     
90      1.3076      77.54       0.8831      82.87       0.00002545     
91      1.3050      77.58       0.8965      82.87       0.00002083     
92      1.3101      77.51       0.8790      82.96       0.00001669     
93      1.3089      77.59       0.8921      82.68       0.00001303     
94      1.3073      77.52       0.8985      82.48       0.00000985     
95      1.3018      77.73       0.8873      82.29       0.00000715     
96      1.3035      77.68       0.8898      82.29       0.00000494     
97      1.3120      77.44       0.8785      82.87       0.00000322     
98      1.3179      77.56       0.8721      82.29       0.00000199     
99      1.3099      77.68       0.9017      82.39       0.00000125     
100     1.3009      77.87       0.8841      82.58       0.00000100     
